Rows	variable	value
1	Cluster_0	Astro_Gja1	13.3821024684625
2	Cluster_1	Exc_L3_Calb1	2.64433262585718
3	Cluster_10	Inh_Pvalb	4.53378797300458
4	Cluster_11	Inh_Sst	4.25671434540525
5	Cluster_12	VLMC_Slc7a11	36.1732174801491
6	Cluster_13	Inh_Lamp5	5.80969715645382
7	Cluster_14	Inh_Vip	15.5909758422846
8	Cluster_15	Peri_Vtn	56.417645707187
14	Cluster_16	Exc_L2_Cux2	15.5909758422846
15	Cluster_17	Astro_Id3	12.0563393396117
16	Cluster_18	VLMC_Cped1	16.3231822108309
17	Cluster_19	Endo_Flt1	87.5806447507538
18	Cluster_2	Exc_L5_Il1rapl2	2.69553316169692
19	Cluster_20	Micro_Mrc1	24.4904068614699
20	Cluster_21	ImmOligo_Bcas1	8.27368500301096
21	Cluster_22	Endo_Cldn5	64.106795444763
22	Cluster_3	Exc_L6_Foxp2	2.92506566163126
23	Cluster_4	Exc_L2_Cux2	2.37648922893009
24	Cluster_5	Micro_C1qc	27.2757812126845
25	Cluster_6	Oligo_Mobp	49.516098767018
26	Cluster_7	Exc_L4_Ntng1	1.74703539793246
27	Cluster_8	OPC_Vcan	14.2969532843775
28	Cluster_9	Exc_L6_Fezf2	3.78832738639093
