Gene	Cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Adhfe1	Cluster_0	0.709405303922986	0.67626952779887	43878553.5	0.662108132763636	0	0	34.1313689379988	1.86814807531586
Prex2	Cluster_0	2.73400759579094	2.5611600682516	62212840.5	0.938764484507834	0	0	90.8225905463474	11.4055356177179
Eya1	Cluster_0	0.656789355819963	0.504762277830948	41252350	0.622479873467387	0	0	31.9828115408226	7.54141880930141
Paqr8	Cluster_0	1.42337643740524	1.2932774292667	51714815.5	0.780353890356047	0	0	61.1724984653162	10.4911262966422
Arhgef4	Cluster_0	0.906969757197162	0.731352747565063	44186668.5	0.666757453013595	0	0	42.7869858809085	15.0877537977484
Pou3f3	Cluster_0	0.734989576103334	0.573927071812346	41750069	0.629990234941153	4.33160757904713e-305	1.08491894136437e-303	35.3591160220994	12.963964406863
Gulp1	Cluster_0	0.640671693122035	0.523188927651694	41391100	0.624573550129289	0	0	30.8471454880295	6.42052996411189
Rftn2	Cluster_0	0.609426692759029	0.561772986146341	42305862	0.638376907611051	0	0	30.049109883364	2.39909542303722
Aox1	Cluster_0	0.446163182392498	0.425623165915432	40185459	0.606380956080051	0	0	22.3143032535298	1.04222997886043
Gm973	Cluster_0	0.615713454753929	0.597733087328121	42678917.5	0.644006151531369	0	0	29.7728667894414	1.07172705373384
Pard3b	Cluster_0	1.21080434931866	0.990192110655929	47578273	0.717935277792339	0	0	53.683241252302	9.31124330170591
Ikzf2	Cluster_0	0.405804336712641	0.172725400833621	35213272.5	0.531352841963491	2.13478289599761e-19	6.22946616131678e-19	20.1043585021486	15.4023892630647
Plcd4	Cluster_0	0.542254558770347	0.528020152517925	41787947.5	0.630561804897462	0	0	26.9797421731123	1.03731379971486
Utp14b	Cluster_0	0.422902599239618	0.370818709215108	39080454.5	0.589706922689446	0	0	21.5469613259669	4.24757878177081
Serpine2	Cluster_0	1.04769231573513	0.783695322816727	44814505	0.676231230509379	0	0	47.6979742173112	14.9648493191092
Cdh19	Cluster_0	1.13836277637048	1.05131325585875	48672686	0.734449490092028	0	0	50.8594229588705	3.6330563885748
Gli2	Cluster_0	0.907738684172004	0.88558025785628	46927936	0.708121977617412	0	0	42.6642111724985	1.09630794946168
Dbi	Cluster_0	0.454032899852624	0.380034870178304	39348191.5	0.59374695662406	0	0	22.2529158993247	3.36266653556856
Gpr37l1	Cluster_0	1.61410774300274	1.55781454811938	55175908	0.832580258586194	0	0	68.6003683241252	2.78255739639152
Csrp1	Cluster_0	0.801675754238681	0.711177372363379	44271057	0.668030838476535	0	0	37.8759975445058	3.87394916670763
Nek7	Cluster_0	0.437925994689328	0.190477759139207	36284136.5	0.547511710178775	1.39034489626964e-47	7.27639757802028e-47	22.0994475138122	12.6149156875277
Glul	Cluster_0	1.92201185849136	1.77160061119749	56707392.5	0.855689688176927	0	0	76.7955801104972	6.60242859249791
Soat1	Cluster_0	0.65964039257363	0.512193380821944	40861453.5	0.616581416679862	3.03235221548857e-273	6.80303002254812e-272	32.1055862492327	11.267882601642
Prdx6	Cluster_0	1.40694140716457	1.26337123048796	51691190	0.779997391920186	0	0	61.6022099447514	11.916818248857
Prrx1	Cluster_0	0.549897564467383	0.481362225399272	40835746	0.616193501776901	0	0	26.5500306936771	3.32333710240401
Atp1a2	Cluster_0	2.90176080951176	2.65923364687814	62163279.5	0.938016630748983	0	0	94.9969306322897	8.70655326680104
Kcnj10	Cluster_0	0.401239358237794	0.351691836895506	39008377.5	0.588619312363249	0	0	20.1657458563536	2.39909542303722
Trp53bp2	Cluster_0	0.445212988326503	0.33333237997787	38283805	0.577685831043568	9.66154234384513e-174	1.43159837140377e-172	22.2222222222222	7.40376579322551
Slc30a10	Cluster_0	0.556532035510799	0.503279226522712	41208983.5	0.621825491997417	0	0	27.4708410067526	3.65763728430264
Slc39a12	Cluster_0	1.24200068995947	1.20365559462613	50800285	0.766554026107778	0	0	55.0644567219153	2.2319453320879
Pnpla7	Cluster_0	0.598939689942912	0.446629326681327	40147768	0.605812215416528	3.35144598842957e-279	7.67905861992142e-278	29.0669122160835	8.15102502335185
Notch1	Cluster_0	0.436983262989782	0.386954721180375	39522797.5	0.596381684604081	0	0	21.6697360343769	2.32043655670813
Lhx2	Cluster_0	0.46234887409324	0.39407523597938	39034243	0.589009611416931	3.30371367933106e-242	6.56926061098038e-241	22.9588704726826	6.54343444275109
Lypd6	Cluster_0	0.599459331538447	0.493654526907134	41041735.5	0.619301793011113	0	0	29.4352363413137	6.14030775281451
Gpd2	Cluster_0	0.482257765478258	0.27125131658586	36433661	0.549767969321352	3.04922800609203e-42	1.46699777618672e-41	23.9103744628607	17.1279681431591
Gca	Cluster_0	0.398844830603653	0.242996434401592	36000356.5	0.543229594408581	4.4078207450546e-38	1.96344230496583e-37	20.073664825046	13.7849663241729
Itga6	Cluster_0	0.59550231578689	0.451508458126236	40305051.5	0.608185554466995	4.1740893257644e-300	1.03224749245771e-298	29.0669122160835	7.74789833341527
Ccdc141	Cluster_0	0.756325317852661	0.693617314219265	44094184	0.665361902460531	0	0	36.1571516267649	3.33316946069515
Lrp4	Cluster_0	0.912848419115894	0.806004055479109	45290904.5	0.683419890076166	0	0	41.9582565991406	6.37628435180178
Fjx1	Cluster_0	1.11376878492509	1.02649182530884	48133958.5	0.726320328334373	0	0	49.5702885205648	8.03795290300378
Abtb2	Cluster_0	0.454383338591609	0.321481897304719	38372803.5	0.579028779385148	8.15766627059825e-194	1.33266658930844e-192	22.3449969306323	6.49918883044098
Pax6	Cluster_0	0.578205612436055	0.566270345059478	42250090.5	0.637535340130336	0	0	28.1154082259055	0.663684184651689
Lgr4	Cluster_0	0.985711037785257	0.747082025335665	44124462.5	0.665818791749233	0	0	45.3038674033149	19.1534339511332
Ivd	Cluster_0	0.804307091140145	0.597818588053156	42143606.5	0.635928543260671	7.04859696299042e-289	1.68127010708136e-287	38.5819521178637	16.0611572685709
Mertk	Cluster_0	2.51326658715349	2.19374201063976	58382806	0.880970943268711	0	0	88.244321669736	10.7664323287941
Smox	Cluster_0	0.469060723617218	0.35802041616233	38660025.5	0.583362833426119	9.48302890538885e-186	1.48816460174647e-184	23.6648250460405	8.10677941104174
Prnp	Cluster_0	1.08251302962957	0.997649484147455	48342050	0.729460337826914	0	0	50.061387354205	7.29560985202301
Cst3	Cluster_0	3.18962214757687	2.66314277571448	59120048	0.892095601788161	0	0	96.0712093308778	13.7358045327172
Acss1	Cluster_0	0.910977640930097	0.810077146567326	45716786	0.68984625517372	0	0	42.9404542664211	5.55528243449191
Pygb	Cluster_0	0.973057827583548	0.809986183406121	45477706	0.686238642803793	0	0	45.5801104972376	13.0180423774642
Acss2	Cluster_0	0.613888601964814	0.387630704234363	38152608.5	0.575706133384662	4.68803173275742e-86	3.93381445905912e-85	29.4966236955187	19.1878472051522
Tox2	Cluster_0	0.420258619408382	0.339449312521355	38383216.5	0.579185906989331	7.16656410996123e-189	1.14298463177032e-187	21.5162676488643	6.97114202841552
Sdc4	Cluster_0	0.482483209517792	0.470624011774197	40890866.5	0.617025245953063	0	0	24.0024554941682	0.599773855759304
Nkain4	Cluster_0	0.427810504820365	0.402137734406041	39660874	0.598465198446294	0	0	21.3321055862492	1.92222604591711
Sox2	Cluster_0	0.538615496968234	0.470232169607268	40683812	0.613900884335825	0	0	26.365868631062	3.88869770414434
Slc7a11	Cluster_0	1.7738872116145	1.62497705726106	54184064	0.817613767522791	0	0	69.0300798035605	5.06858069908067
Foxo1	Cluster_0	0.700048255090833	0.590952361510248	42271768.5	0.637862451645123	0	0	33.4254143646409	6.79415957917506
Wwtr1	Cluster_0	0.629167263873635	0.547465613834627	41884652	0.632021033400171	0	0	30.6936771025169	4.74411287547318
Arhgef26	Cluster_0	1.10339697958879	1.02034950168397	48515692	0.732080519469624	0	0	50.2148557397176	6.12064303623224
Tiparp	Cluster_0	0.684399671617592	0.577137726234986	42060963.5	0.634681496627377	0	0	32.9650092081031	7.64957475050391
Bcan	Cluster_0	1.87143567390752	1.7482094918622	56855430.5	0.857923516686294	0	0	75.8747697974217	6.20913426085247
Pbxip1	Cluster_0	0.430963117273302	0.399374249172713	39761060	0.59997696125746	0	0	21.5162676488643	1.43060813136031
Kcnn3	Cluster_0	0.505149560549273	0.386500211784331	38866184.5	0.586473682341009	6.81364488900596e-164	9.61913187578499e-163	25.5985267034991	10.8303426576864
Notch2	Cluster_0	0.518134534252439	0.385327173488619	39393353	0.594428423856971	1.91180374418764e-263	4.13391533228112e-262	25.537139349294	6.51393736787769
Vav3	Cluster_0	0.532677870501196	0.355558694826451	38263790	0.577383813469601	1.26081921374393e-115	1.32712942190316e-114	26.2124002455494	13.2245219015781
S1pr1	Cluster_0	1.53023527474119	1.50876427930127	54429809.5	0.821321959365078	0	0	65.1626764886433	0.948822575094637
Vcam1	Cluster_0	0.419931650455989	0.390390156284088	39605426	0.597628512438733	0	0	20.902394106814	1.29787129442997
Cdc14a	Cluster_0	0.402912519214224	0.332482125684476	38631939	0.582939020456285	0	0	20.1043585021486	3.47573865591662
Agl	Cluster_0	0.742506441019748	0.574674558178864	41833479.5	0.631248862812919	4.26809606767946e-301	1.05670986071489e-299	36.0343769183548	13.6030676957868
F3	Cluster_0	1.31203119970856	1.26851141762792	51725255	0.78051141783361	0	0	57.9189686924494	2.15328646575881
Abcd3	Cluster_0	0.401058738570872	0.182519688973982	34972607	0.527721305093762	2.31868574168882e-14	5.89118135716049e-14	20.3499079189687	17.3934418170198
Bmpr1b	Cluster_0	1.76687144376827	1.6437649359414	55544677.5	0.838144828645806	0	0	71.4548802946593	7.71348507939629
Pdlim5	Cluster_0	0.988249805116847	0.828795756997187	45853110	0.691903324559357	0	0	45.8563535911602	7.42834668895335
Ddah1	Cluster_0	0.901090295959469	0.797966616486489	45326964	0.683964012120057	0	0	41.9889502762431	7.78722776657981
Chd7	Cluster_0	0.498536576726058	0.222354376845521	36833429	0.555800293153966	1.06553688308631e-61	6.81683795408918e-61	24.8925721301412	13.2048571849958
Pou3f2	Cluster_0	0.551750721834109	0.478020472637972	40475908	0.61076370413607	0	0	27.2252915899325	6.66142274224473
Ankrd6	Cluster_0	0.64158706596884	0.429131772752962	39175965	0.591148134255692	2.98243274900655e-132	3.52179147062986e-131	30.9699201964395	17.0198122019566
Cntfr	Cluster_0	0.462813331431831	0.366549263498386	38600664	0.582467094419521	4.79979798834741e-184	7.45076866661576e-183	23.0509515039902	8.04286908214935
Frmpd1	Cluster_0	0.670871742982688	0.633530785581091	43265337.5	0.652854972202161	0	0	32.5966850828729	2.5711616931321
Abca1	Cluster_0	0.591024874582534	0.378623256038333	39389304.5	0.594367333767128	6.89074360442444e-204	1.17197113556673e-202	29.036218538981	9.50789046752864
Tle1	Cluster_0	0.471617650161321	0.224651444348188	35771212.5	0.539771911921988	3.38893822176039e-26	1.16847765771113e-25	23.6034376918355	18.6716483948675
Cyp2j9	Cluster_0	0.434234330378599	0.408662466213725	39941048.5	0.602692908802402	0	0	21.853898096992	1.36669780246792
E130114P18Rik	Cluster_0	0.768819153581606	0.674522511803574	43611991.5	0.658085829063817	0	0	36.4333947206875	5.633941300821
Cachd1	Cluster_0	0.568976410530104	0.503663828918703	41201942.5	0.621719246394704	0	0	27.9005524861878	4.05093161594808
Raver2	Cluster_0	0.652282494517966	0.554320068590578	41747166	0.62994642994404	0	0	31.890730509515	8.01828818642151
Plpp3	Cluster_0	2.88920169824985	2.74783598864708	63485443	0.957967498231277	0	0	93.9840392879067	6.26812841059928
Prdx1	Cluster_0	0.489862171140801	0.377167963237415	39047380.5	0.589207850531495	3.41540492209012e-221	6.27518675480521e-220	24.462860650706	7.44801140553562
Id3	Cluster_0	0.9290804838434	0.850566805597975	45203720	0.682104314199196	0	0	39.7483118477594	3.10702521999902
Arhgef10l	Cluster_0	0.715734763556204	0.535903745025773	41155907	0.621024590885018	8.19949084309615e-249	1.66583612359975e-247	34.7452424800491	14.5322255542992
Arhgef19	Cluster_0	0.686109194927129	0.66440396135542	43821136.5	0.661241735409428	0	0	33.3026396562308	1.10122412860725
Prdm16	Cluster_0	1.30584586812481	1.28783290977892	51929963.5	0.783600379339505	0	0	57.5199508901166	0.845582813037707
Hes5	Cluster_0	1.27604923910325	1.20450518572676	49596110.5	0.74838356090052	0	0	52.670349907919	3.73137997148616
Cyp51	Cluster_0	0.506026501479632	0.288279858398583	36614760	0.55250067382437	2.02353781305582e-44	1.00545995491677e-43	25.0460405156538	18.4209232584435
Crot	Cluster_0	0.417973688134885	0.337783693048138	38413568	0.579643897816024	1.40452673230662e-206	2.41747141164616e-205	21.2400245549417	6.15014011110565
Gsap	Cluster_0	0.706082476241629	0.609221368271578	42829968	0.646285437344836	0	0	34.1006752608963	5.0489159824984
Insig1	Cluster_0	0.408470289980956	0.297895728579674	37406345.5	0.564445351930675	2.05785930414023e-108	2.06602160189347e-107	20.5033763044813	9.04085344869967
Fgfr3	Cluster_0	1.02970069211234	1.01428494409178	48735349	0.735395047286008	0	0	47.7900552486188	0.796421021582026
Cc2d2a	Cluster_0	0.427540207097745	0.198962300432327	34990366	0.527989280616924	1.08096463517242e-13	2.70084242547144e-13	21.4241866175568	19.178014846861
Klhl5	Cluster_0	0.496980995599936	0.286409077767735	37169900	0.560877493010591	3.87800916245184e-68	2.68108506202286e-67	24.8925721301412	14.7485374367042
Gabrg1	Cluster_0	0.704321621950065	0.649774039263052	43412317.5	0.655072835955431	0	0	34.1927562922038	4.29182439408092
Hopx	Cluster_0	0.469361637093439	0.461304776973773	40486980	0.610930775761299	0	0	22.6212400245549	0.48178555626567
Bmp2k	Cluster_0	0.776588801128167	0.514553967524337	41179001	0.621373069218927	2.74101662829712e-263	5.91504240299022e-262	37.292817679558	12.9098864362617
Ptpn13	Cluster_0	0.431120340906671	0.286021487573475	37454816	0.56517675052268	4.55835774500524e-106	4.49258208354502e-105	21.6083486801719	9.50297428838307
Aff1	Cluster_0	0.476910120784807	0.359436744582438	38894065.5	0.586894394405949	9.2217176866967e-223	1.70597812578916e-221	23.8489871086556	6.81874047490291
Msi1	Cluster_0	0.453665415598269	0.4037862197285	39511124	0.596205536607593	0	0	22.744014732965	4.3409861855366
Ubc	Cluster_0	0.498374717171432	0.394763708246184	39622714.5	0.597889388323196	2.56375693905356e-295	6.25388101402918e-294	25.2302025782689	6.07148124477656
