Gene	Cluster
Adhfe1	Cluster_0
Prex2	Cluster_0
Eya1	Cluster_0
Paqr8	Cluster_0
Arhgef4	Cluster_0
Pou3f3	Cluster_0
Gulp1	Cluster_0
Rftn2	Cluster_0
Aox1	Cluster_0
Gm973	Cluster_0
Pard3b	Cluster_0
Ikzf2	Cluster_0
Plcd4	Cluster_0
Utp14b	Cluster_0
Serpine2	Cluster_0
Cdh19	Cluster_0
Gli2	Cluster_0
Dbi	Cluster_0
Gpr37l1	Cluster_0
Csrp1	Cluster_0
Nek7	Cluster_0
Glul	Cluster_0
Soat1	Cluster_0
Prdx6	Cluster_0
Prrx1	Cluster_0
Atp1a2	Cluster_0
Kcnj10	Cluster_0
Trp53bp2	Cluster_0
Slc30a10	Cluster_0
Slc39a12	Cluster_0
Pnpla7	Cluster_0
Notch1	Cluster_0
Lhx2	Cluster_0
Lypd6	Cluster_0
Gpd2	Cluster_0
Gca	Cluster_0
Itga6	Cluster_0
Ccdc141	Cluster_0
Lrp4	Cluster_0
Fjx1	Cluster_0
Abtb2	Cluster_0
Pax6	Cluster_0
Lgr4	Cluster_0
Ivd	Cluster_0
Mertk	Cluster_0
Smox	Cluster_0
Prnp	Cluster_0
Cst3	Cluster_0
Acss1	Cluster_0
Pygb	Cluster_0
Acss2	Cluster_0
Tox2	Cluster_0
Sdc4	Cluster_0
Nkain4	Cluster_0
Sox2	Cluster_0
Slc7a11	Cluster_0
Foxo1	Cluster_0
Wwtr1	Cluster_0
Arhgef26	Cluster_0
Tiparp	Cluster_0
Bcan	Cluster_0
Pbxip1	Cluster_0
Kcnn3	Cluster_0
Notch2	Cluster_0
Vav3	Cluster_0
S1pr1	Cluster_0
Vcam1	Cluster_0
Cdc14a	Cluster_0
Agl	Cluster_0
F3	Cluster_0
Abcd3	Cluster_0
Bmpr1b	Cluster_0
Pdlim5	Cluster_0
Ddah1	Cluster_0
Chd7	Cluster_0
Pou3f2	Cluster_0
Ankrd6	Cluster_0
Cntfr	Cluster_0
Frmpd1	Cluster_0
Abca1	Cluster_0
Tle1	Cluster_0
Cyp2j9	Cluster_0
E130114P18Rik	Cluster_0
Cachd1	Cluster_0
Raver2	Cluster_0
Plpp3	Cluster_0
Prdx1	Cluster_0
Id3	Cluster_0
Arhgef10l	Cluster_0
Arhgef19	Cluster_0
Prdm16	Cluster_0
Hes5	Cluster_0
Cyp51	Cluster_0
Crot	Cluster_0
Gsap	Cluster_0
Insig1	Cluster_0
Fgfr3	Cluster_0
Cc2d2a	Cluster_0
Klhl5	Cluster_0
Gabrg1	Cluster_0
Hopx	Cluster_0
Bmp2k	Cluster_0
Ptpn13	Cluster_0
Aff1	Cluster_0
Msi1	Cluster_0
Ubc	Cluster_0
Phkg1	Cluster_0
Tsc22d4	Cluster_0
Mmd2	Cluster_0
Ptprz1	Cluster_0
Tril	Cluster_0
Tcf7l1	Cluster_0
Eva1a	Cluster_0
Sfxn5	Cluster_0
Tprkb	Cluster_0
Aldh1l1	Cluster_0
Lrig1	Cluster_0
Eogt	Cluster_0
Irak2	Cluster_0
Slc6a11	Cluster_0
Slc6a1	Cluster_0
Washc2	Cluster_0
Hdhd5	Cluster_0
Cecr2	Cluster_0
Slc25a18	Cluster_0
Tspan9	Cluster_0
Tulp3	Cluster_0
Eps8	Cluster_0
Slco1c1	Cluster_0
Ldhb	Cluster_0
Itpr2	Cluster_0
Hif3a	Cluster_0
Apoe	Cluster_0
Akt2	Cluster_0
Lgi4	Cluster_0
Slc7a10	Cluster_0
Myh14	Cluster_0
Pcsk6	Cluster_0
Rgma	Cluster_0
Mfge8	Cluster_0
Thrsp	Cluster_0
Arrb1	Cluster_0
Tead1	Cluster_0
Sox6	Cluster_0
Tmc7	Cluster_0
Gprc5b	Cluster_0
Htra1	Cluster_0
Dock1	Cluster_0
Agpat5	Cluster_0
Fgfr1	Cluster_0
Slc7a2	Cluster_0
Mfap3l	Cluster_0
Palld	Cluster_0
Msmo1	Cluster_0
Slc27a1	Cluster_0
Nwd1	Cluster_0
Gab1	Cluster_0
Mt3	Cluster_0
Mt1	Cluster_0
Cpne2	Cluster_0
Kifc3	Cluster_0
Cyb5b	Cluster_0
Kcnk1	Cluster_0
Yap1	Cluster_0
St3gal4	Cluster_0
Hepacam	Cluster_0
Pts	Cluster_0
