Gene	Cluster
ABAT	Cluster_0
ABCA1	Cluster_0
ABCD2	Cluster_0
ABCD3	Cluster_0
ABHD3	Cluster_0
ABTB2	Cluster_0
ACSBG1	Cluster_0
ACSS1	Cluster_0
ACSS2	Cluster_0
ADAMTS6	Cluster_0
ADHFE1	Cluster_0
AFF1	Cluster_0
AGL	Cluster_0
AGMO	Cluster_0
AGPAT5	Cluster_0
AKT2	Cluster_0
ALDH1L1	Cluster_0
ALDH7A1	Cluster_0
ALDOC	Cluster_0
ANKRD6	Cluster_0
AOX1	Cluster_0
APOE	Cluster_0
APPL2	Cluster_0
AQP4	Cluster_0
ARHGAP12	Cluster_0
ARHGAP31	Cluster_0
ARHGEF10L	Cluster_0
ARHGEF19	Cluster_0
ARHGEF26	Cluster_0
ARRB1	Cluster_0
ASRGL1	Cluster_0
ATL2	Cluster_0
ATP13A4	Cluster_0
ATP1A2	Cluster_0
ATP1B2	Cluster_0
ATP6V0E1	Cluster_0
BCAN	Cluster_0
BMP2K	Cluster_0
BMPR1B	Cluster_0
BTBD17	Cluster_0
CABLES1	Cluster_0
CACHD1	Cluster_0
CASKIN1	Cluster_0
CBSL	Cluster_0
CBS	Cluster_0
CC2D2A	Cluster_0
CCDC141	Cluster_0
CD63	Cluster_0
CDC14A	Cluster_0
CDH19	Cluster_0
CECR2	Cluster_0
CHD7	Cluster_0
CHRDL1	Cluster_0
CHST2	Cluster_0
CLDN10	Cluster_0
CLMN	Cluster_0
CLU	Cluster_0
CLYBL	Cluster_0
CMTM5	Cluster_0
CNTFR	Cluster_0
CPNE2	Cluster_0
CPQ	Cluster_0
CRLF3	Cluster_0
CROT	Cluster_0
CS	Cluster_0
CSRP1	Cluster_0
CST3	Cluster_0
CTNNA1	Cluster_0
CUEDC1	Cluster_0
CXCL14	Cluster_0
CYB5B	Cluster_0
CYP2D6	Cluster_0
CYP2J2	Cluster_0
CYP4F2	Cluster_0
CYP51A1	Cluster_0
DAAM2	Cluster_0
DACH1	Cluster_0
DBI	Cluster_0
DBX2	Cluster_0
DDAH1	Cluster_0
DDO	Cluster_0
DIAPH3	Cluster_0
DIO2	Cluster_0
DLG5	Cluster_0
DOCK1	Cluster_0
DPF3	Cluster_0
DZIP1L	Cluster_0
ECI2	Cluster_0
EDA	Cluster_0
EDNRB	Cluster_0
EGFR	Cluster_0
ELOVL5	Cluster_0
EOGT	Cluster_0
EPS8	Cluster_0
ETV4	Cluster_0
EVA1A	Cluster_0
EYA1	Cluster_0
F3	Cluster_0
FADS2	Cluster_0
FAM107A	Cluster_0
FAM20A	Cluster_0
FAM228B	Cluster_0
FDFT1	Cluster_0
FGD6	Cluster_0
FGF1	Cluster_0
FGFR1	Cluster_0
FGFR3	Cluster_0
FJX1	Cluster_0
FOXN2	Cluster_0
FOXO1	Cluster_0
FRMPD1	Cluster_0
GAB1	Cluster_0
GABRG1	Cluster_0
GALNT16	Cluster_0
GCA	Cluster_0
GFRA1	Cluster_0
GJA1	Cluster_0
GJB6	Cluster_0
GK	Cluster_0
GK3P	Cluster_0
GLDC	Cluster_0
GLI2	Cluster_0
GLI3	Cluster_0
GLIS3	Cluster_0
GLUL	Cluster_0
KIAA2012	Cluster_0
GNA13	Cluster_0
GPAM	Cluster_0
GPD2	Cluster_0
GPLD1	Cluster_0
GPR37L1	Cluster_0
GPRC5B	Cluster_0
GRAMD2B	Cluster_0
GRIN2C	Cluster_0
GSAP	Cluster_0
GULP1	Cluster_0
HAPLN1	Cluster_0
HBP1	Cluster_0
HDHD5	Cluster_0
HEPACAM	Cluster_0
HES5	Cluster_0
HIF3A	Cluster_0
HLF	Cluster_0
HMGCS1	Cluster_0
HOPX	Cluster_0
HTRA1	Cluster_0
HUNK	Cluster_0
ID3	Cluster_0
ID4	Cluster_0
IGDCC4	Cluster_0
IGSF11	Cluster_0
IKZF2	Cluster_0
IL18	Cluster_0
INSIG1	Cluster_0
IRAK2	Cluster_0
ITGA6	Cluster_0
ITGB5	Cluster_0
ITGB8	Cluster_0
ITPR2	Cluster_0
IVD	Cluster_0
KANK1	Cluster_0
KCNJ10	Cluster_0
KCNK1	Cluster_0
KCNN3	Cluster_0
KIFC3	Cluster_0
KLHL5	Cluster_0
LAMA2	Cluster_0
LAMA3	Cluster_0
LDHB	Cluster_0
LGI4	Cluster_0
LGR4	Cluster_0
LHX2	Cluster_0
LIX1	Cluster_0
LPP	Cluster_0
LRIG1	Cluster_0
LRP4	Cluster_0
LTBP1	Cluster_0
LYPD6	Cluster_0
MEGF10	Cluster_0
MERTK	Cluster_0
MFAP3L	Cluster_0
MFGE8	Cluster_0
MID1	Cluster_0
MLC1	Cluster_0
MMD2	Cluster_0
MRO	Cluster_0
MSI1	Cluster_0
MSMO1	Cluster_0
MT1G	Cluster_0
MYH14	Cluster_0
MYO10	Cluster_0
NADK2	Cluster_0
NDRG2	Cluster_0
NEK7	Cluster_0
NHSL1	Cluster_0
NIM1K	Cluster_0
NKAIN4	Cluster_0
NOTCH1	Cluster_0
NOTCH2	Cluster_0
NTSR2	Cluster_0
NWD1	Cluster_0
NXN	Cluster_0
OSTM1	Cluster_0
PALLD	Cluster_0
PAQR8	Cluster_0
PARD3B	Cluster_0
PAX6	Cluster_0
PBXIP1	Cluster_0
PCSK6	Cluster_0
PDGFRB	Cluster_0
PDLIM5	Cluster_0
PELI2	Cluster_0
PGP	Cluster_0
PHKA1	Cluster_0
PHKG1	Cluster_0
PLA2G7	Cluster_0
PLCD4	Cluster_0
PLEKHG1	Cluster_0
PLPP3	Cluster_0
PLXNB1	Cluster_0
PNPLA7	Cluster_0
POU3F2	Cluster_0
POU3F3	Cluster_0
PPP1R3C	Cluster_0
PRDM16	Cluster_0
PRDX1	Cluster_0
PRDX6	Cluster_0
PREX2	Cluster_0
PRNP	Cluster_0
PRODH	Cluster_0
PRRX1	Cluster_0
PSD2	Cluster_0
PTAR1	Cluster_0
PTCH1	Cluster_0
PTPN13	Cluster_0
PTPRZ1	Cluster_0
PTS	Cluster_0
PYGB	Cluster_0
RAB31	Cluster_0
RANBP3L	Cluster_0
RAPGEF3	Cluster_0
RAVER2	Cluster_0
RFTN2	Cluster_0
RFX4	Cluster_0
RGMA	Cluster_0
RNF182	Cluster_0
RORB	Cluster_0
RREB1	Cluster_0
S1PR1	Cluster_0
SALL3	Cluster_0
SASH1	Cluster_0
SAT1	Cluster_0
SCD	Cluster_0
SDC2	Cluster_0
SDC4	Cluster_0
SERPINE2	Cluster_0
SFXN1	Cluster_0
SFXN5	Cluster_0
SH3PXD2B	Cluster_0
SHROOM2	Cluster_0
SHROOM4	Cluster_0
SLC15A2	Cluster_0
SLC1A3	Cluster_0
SLC1A4	Cluster_0
SLC25A18	Cluster_0
SLC27A1	Cluster_0
SLC30A10	Cluster_0
SLC38A3	Cluster_0
SLC39A12	Cluster_0
SLC6A1	Cluster_0
SLC6A11	Cluster_0
SLC7A10	Cluster_0
SLC7A11	Cluster_0
SLC7A2	Cluster_0
SLCO1C1	Cluster_0
SLITRK2	Cluster_0
SMOX	Cluster_0
SMPDL3A	Cluster_0
SOAT1	Cluster_0
SOX2	Cluster_0
SOX6	Cluster_0
SOX9	Cluster_0
SPRY2	Cluster_0
ST3GAL4	Cluster_0
STON2	Cluster_0
SUGCT	Cluster_0
TAGLN3	Cluster_0
TCF7L1	Cluster_0
TCF7L2	Cluster_0
TEAD1	Cluster_0
THRSP	Cluster_0
TIMP3	Cluster_0
TIPARP	Cluster_0
TJP2	Cluster_0
TLCD1	Cluster_0
TLE1	Cluster_0
TMC7	Cluster_0
