cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
1	Astro_Gja1	0610012G03Rik	-0.570241167593561	1.2965870449193e-22	3.30236089672927e-20	singlecell	MAST	singlecell
2	Astro_Gja1	1810037I17Rik	-0.315117330931947	3.61920791552746e-21	7.37439464273832e-19	singlecell	MAST	singlecell
3	Astro_Gja1	2210016L21Rik	-0.266788477730281	1.17648120640028e-10	1.93319717130037e-09	singlecell	MAST	singlecell
4	Astro_Gja1	9530068E07Rik	-0.222853537006617	9.64382488175545e-08	6.74925781592139e-07	singlecell	MAST	singlecell
5	Astro_Gja1	Abhd17a	-0.308414493293665	2.14542128726591e-20	3.82501797753421e-18	singlecell	MAST	singlecell
6	Astro_Gja1	Abtb1	-0.207564903134775	4.15716605788984e-11	7.95888046760844e-10	singlecell	MAST	singlecell
7	Astro_Gja1	Acyp1	-0.205895201285194	4.46503034939335e-14	2.43071480432814e-12	singlecell	MAST	singlecell
8	Astro_Gja1	Adam23	0.23920588654955	1.31114263105439e-08	1.15508507391778e-07	singlecell	MAST	singlecell
9	Astro_Gja1	Adgrb1	-0.464626493701554	2.58935878974722e-15	1.88428696011044e-13	singlecell	MAST	singlecell
10	Astro_Gja1	Adgrb2	0.355195721276109	1.41028274655857e-14	8.59609521972858e-13	singlecell	MAST	singlecell
11	Astro_Gja1	Ap2a2	-0.301454796967622	1.1154548563998e-09	1.35828220832299e-08	singlecell	MAST	singlecell
12	Astro_Gja1	Arf5	-0.539162548228213	5.89623125536644e-41	5.60652975968611e-38	singlecell	MAST	singlecell
13	Astro_Gja1	Armcx3	-0.330646464039487	1.53322179600268e-18	2.1231400462511e-16	singlecell	MAST	singlecell
14	Astro_Gja1	Arpc1a	-0.606995721351393	6.604548442107e-46	1.17750843037215e-42	singlecell	MAST	singlecell
15	Astro_Gja1	Arpc4	-0.339384537280371	2.53293083146784e-13	1.08047915393207e-11	singlecell	MAST	singlecell
16	Astro_Gja1	Arpc5l	-0.321642057687853	9.61854742232006e-21	1.8539100254669e-18	singlecell	MAST	singlecell
17	Astro_Gja1	Arpp19	-0.462652424276539	1.62525806049803e-35	9.65877321536811e-33	singlecell	MAST	singlecell
18	Astro_Gja1	Asic2	-0.578207833565557	7.53292588792017e-21	1.49225169360285e-18	singlecell	MAST	singlecell
19	Astro_Gja1	Atg2a	0.207283791365821	6.6245110379381e-06	2.93980712302772e-05	singlecell	MAST	singlecell
20	Astro_Gja1	Atox1	-0.28021647424528	7.05887179291344e-15	4.57639492646929e-13	singlecell	MAST	singlecell
21	Astro_Gja1	Atp2b2	-0.306347052629488	1.61453900511136e-13	7.47667851620239e-12	singlecell	MAST	singlecell
22	Astro_Gja1	Atp5b	-0.289735777871188	7.31438478226381e-11	1.29919140908379e-09	singlecell	MAST	singlecell
23	Astro_Gja1	Atp5j2	-0.306602628134582	1.39984091014958e-07	9.35172407562688e-07	singlecell	MAST	singlecell
24	Astro_Gja1	Atp5l	-0.469471819835487	7.21540823764299e-20	1.21074550227649e-17	singlecell	MAST	singlecell
25	Astro_Gja1	Atp6v0e	-0.202435387900304	2.29665365741646e-08	1.89786622918488e-07	singlecell	MAST	singlecell
26	Astro_Gja1	Atp6v1a	-0.249350518788475	1.49738525623523e-19	2.39968605726776e-17	singlecell	MAST	singlecell
27	Astro_Gja1	Atp6v1e1	-0.410990610382743	4.06163805344972e-17	4.45624181202719e-15	singlecell	MAST	singlecell
28	Astro_Gja1	Atp8a1	0.249179193795586	4.52334648332816e-15	3.12074235840444e-13	singlecell	MAST	singlecell
29	Astro_Gja1	BC031181	-0.302699218601025	2.18793807804162e-06	1.08582327095016e-05	singlecell	MAST	singlecell
30	Astro_Gja1	Bag1	-0.203424039446149	8.78250869695673e-10	1.10268416852723e-08	singlecell	MAST	singlecell
31	Astro_Gja1	Bcar3	-0.216968256863274	2.00082961612372e-13	8.89029059650237e-12	singlecell	MAST	singlecell
32	Astro_Gja1	Bet1l	-0.274820255206864	1.70106340776291e-09	1.95821367109947e-08	singlecell	MAST	singlecell
33	Astro_Gja1	Bhlhe40	0.208244901997013	1.65982773138199e-07	1.08896609626041e-06	singlecell	MAST	singlecell
34	Astro_Gja1	Bmper	0.228353344164738	4.96687752974671e-07	2.89153364109295e-06	singlecell	MAST	singlecell
35	Astro_Gja1	Bmyc	0.212314409710667	1.19739472952436e-11	2.74132279730434e-10	singlecell	MAST	singlecell
36	Astro_Gja1	Bphl	0.216768329407481	0.000638750504773586	0.00177178110649274	singlecell	MAST	singlecell
37	Astro_Gja1	Brk1	-0.259787302357338	6.91425641425291e-19	1.00630652282132e-16	singlecell	MAST	singlecell
38	Astro_Gja1	Btf3	-0.446683272651675	6.53425404052491e-32	3.32850233500024e-29	singlecell	MAST	singlecell
39	Astro_Gja1	Bzw1	0.227201593512038	2.38381673725942e-11	4.89228498534594e-10	singlecell	MAST	singlecell
40	Astro_Gja1	C1galt1c1	-0.32315390320558	8.83528122758877e-19	1.26017616149099e-16	singlecell	MAST	singlecell
41	Astro_Gja1	Cab39l	-0.208363108512311	9.28407291251857e-06	3.98971774484038e-05	singlecell	MAST	singlecell
42	Astro_Gja1	Cadm4	0.208358244896928	4.22128589519105e-14	2.32464095456023e-12	singlecell	MAST	singlecell
43	Astro_Gja1	Calm1	-0.592126807843696	2.52183000100951e-42	3.135748792495e-39	singlecell	MAST	singlecell
44	Astro_Gja1	Camk1	-0.219652893744409	0.000266736651003457	0.000811532605218069	singlecell	MAST	singlecell
45	Astro_Gja1	Camk1d	-0.51069385094564	1.28922319213455e-24	4.08626453098112e-22	singlecell	MAST	singlecell
46	Astro_Gja1	Camk2n1	-0.481958129257511	2.52543119852848e-15	1.8471910351083e-13	singlecell	MAST	singlecell
47	Astro_Gja1	Canx	-0.260613263018748	4.67145142796218e-16	4.27108408442465e-14	singlecell	MAST	singlecell
48	Astro_Gja1	Cbx6	-0.223379367630413	1.51219122829734e-11	3.29288297545113e-10	singlecell	MAST	singlecell
49	Astro_Gja1	Ccnd3	-0.232225851491844	9.78404423044066e-10	1.21136999009353e-08	singlecell	MAST	singlecell
50	Astro_Gja1	Cct5	-0.254098784130926	1.19104544061974e-05	5.0008481364614e-05	singlecell	MAST	singlecell
51	Astro_Gja1	Cd81	0.236367036086177	8.21964549386662e-09	7.7180252586583e-08	singlecell	MAST	singlecell
52	Astro_Gja1	Cdc37	-0.371818808557507	1.48491645930548e-23	4.32231907328043e-21	singlecell	MAST	singlecell
53	Astro_Gja1	Cdh19	-0.232361132670052	8.49138075134425e-08	6.06472527072724e-07	singlecell	MAST	singlecell
54	Astro_Gja1	Cep126	-0.218341087998805	1.17239800849907e-14	7.23892328797496e-13	singlecell	MAST	singlecell
55	Astro_Gja1	Chd3	-0.217841510093706	1.02972277568136e-17	1.21379635946638e-15	singlecell	MAST	singlecell
56	Astro_Gja1	Chmp2a	0.273799701588262	8.74321972577464e-10	1.09871844007686e-08	singlecell	MAST	singlecell
57	Astro_Gja1	Ckb	0.202838813847551	4.95991572350668e-12	1.32976086399203e-10	singlecell	MAST	singlecell
58	Astro_Gja1	Cmss1	-0.300969874383692	4.71358117331352e-11	8.83440318987788e-10	singlecell	MAST	singlecell
59	Astro_Gja1	Cmya5	-0.219385681487985	2.00633261073902e-08	1.68529576130569e-07	singlecell	MAST	singlecell
60	Astro_Gja1	Cnp	-0.213770264331168	4.59436687180911e-19	6.82598486381548e-17	singlecell	MAST	singlecell
61	Astro_Gja1	Cntn1	-0.369922068806957	1.17820219221026e-08	1.05029361671843e-07	singlecell	MAST	singlecell
62	Astro_Gja1	Cox14	-0.210925328038225	3.81743323839455e-05	0.000142344415458187	singlecell	MAST	singlecell
63	Astro_Gja1	Cox6a1	-0.341790637167429	1.09693197771374e-30	5.04694864455841e-28	singlecell	MAST	singlecell
64	Astro_Gja1	Cox6b1	-0.228971521790471	2.32593567126108e-16	2.27224797802718e-14	singlecell	MAST	singlecell
