Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0050839	cell adhesion molecule binding	 	3.829E-13	2.535E-10	2.535E-10	1.793E-9	28	600	CNTN4,NRG1,PSMB6,NTNG1,MYO1B,RPSA,NLGN1,SIRPA,GRIN2A,LRRC4C,ITGAV,CNTN6,KIRREL3,FBN1,CADM1,CDH20,TENM3,STXBP6,BSG,CNTN5,CTNNA3,FGF1,CNTN3,CD81,CTNNA2,CDH7,CDH10,HSP90AB1
GO: Molecular Function	GO:0098631	cell adhesion mediator activity	 	8.666E-10	5.737E-7	2.868E-7	2.029E-6	10	74	CNTN4,NTNG1,RPSA,SIRPA,LRRC4C,CNTN6,STXBP6,BSG,CNTN5,CNTN3
GO: Molecular Function	GO:0098632	cell-cell adhesion mediator activity	 	4.961E-9	3.284E-6	1.095E-6	7.743E-6	9	65	CNTN4,NTNG1,SIRPA,LRRC4C,CNTN6,STXBP6,BSG,CNTN5,CNTN3
GO: Molecular Function	GO:0005102	signaling receptor binding	 	5.718E-6	3.785E-3	9.464E-4	6.694E-3	35	1813	DOCK4,NRG1,RELN,ERBB4,CFL1,NXPH1,GRIA1,SEMA5A,NLGN1,GRIN2A,SST,ITGAV,CHRM3,YWHAH,GRIP1,TUBB3,FBN1,CADM1,EFNA5,KITLG,ANKRA2,SLIT3,MIF,FGF1,TAC1,CD81,ALCAM,NRG3,MRAP2,BEX2,IL1RAP,NXPH2,HSP90AA1,VEGFA,HSP90AB1
GO: Molecular Function	GO:0097110	scaffold protein binding	 	1.187E-5	7.860E-3	1.547E-3	1.094E-2	7	88	GRIA1,GRIK2,NLGN1,GRIN2A,CIT,RYR2,HSP90AA1
GO: Molecular Function	GO:0030165	PDZ domain binding	 	1.402E-5	9.282E-3	1.547E-3	1.094E-2	8	125	DOCK4,GRIA1,GRIK2,NLGN1,CIT,KIRREL3,CADM1,ATP2B1
GO: Molecular Function	GO:0004970	ionotropic glutamate receptor activity	 	1.951E-5	1.292E-2	1.845E-3	1.305E-2	4	19	GRIA1,GRIA4,GRIK2,GRIN2A
GO: Molecular Function	GO:0099094	ligand-gated cation channel activity	 	7.923E-5	5.245E-2	6.154E-3	4.353E-2	7	118	ASIC2,GRIA1,GRIA4,GRIK2,GRIN2A,RYR2,ITPR1
GO: Molecular Function	GO:0008066	glutamate receptor activity	 	8.366E-5	5.538E-2	6.154E-3	4.353E-2	4	27	GRIA1,GRIA4,GRIK2,GRIN2A
GO: Molecular Function	GO:0045499	chemorepellent activity	 	1.117E-4	7.394E-2	7.394E-3	5.230E-2	4	29	NRG1,SEMA5A,EFNA5,NRG3
