Gene	Cell
NCBP2AS2	Astro_Gja1
C4orf3	Astro_Gja1
C12orf43	Astro_Gja1
C5orf15	Astro_Gja1
ABHD17A	Astro_Gja1
ABTB1	Astro_Gja1
ADAM23	Astro_Gja1
ADGRB1	Astro_Gja1
ADGRB2	Astro_Gja1
AP2A2	Astro_Gja1
ARF5	Astro_Gja1
ARMCX3	Astro_Gja1
ARPC1A	Astro_Gja1
ARPC4	Astro_Gja1
ARPC5L	Astro_Gja1
ARPP19	Astro_Gja1
ASIC2	Astro_Gja1
ATG2A	Astro_Gja1
ATOX1	Astro_Gja1
ATP2B2	Astro_Gja1
ATP5F1B	Astro_Gja1
ATP5MF	Astro_Gja1
ATP5MG	Astro_Gja1
ATP5MGL	Astro_Gja1
ATP6V0E1	Astro_Gja1
ATP6V1A	Astro_Gja1
ATP6V1E1	Astro_Gja1
ATP8A1	Astro_Gja1
BAG1	Astro_Gja1
C18orf32	Astro_Gja1
BCAR3	Astro_Gja1
BHLHE40	Astro_Gja1
BMPER	Astro_Gja1
BPHL	Astro_Gja1
BRK1	Astro_Gja1
BTF3	Astro_Gja1
BZW1	Astro_Gja1
C1GALT1C1	Astro_Gja1
CAB39L	Astro_Gja1
CADM4	Astro_Gja1
CALM1	Astro_Gja1
CAMK1	Astro_Gja1
CAMK1D	Astro_Gja1
CAMK2N1	Astro_Gja1
CANX	Astro_Gja1
CBX6	Astro_Gja1
CCND3	Astro_Gja1
CCT5	Astro_Gja1
CD81	Astro_Gja1
CDC37	Astro_Gja1
CDH19	Astro_Gja1
CEP126	Astro_Gja1
CHD3	Astro_Gja1
CHMP2A	Astro_Gja1
CKB	Astro_Gja1
CMSS1	Astro_Gja1
CMYA5	Astro_Gja1
CNP	Astro_Gja1
CNTN1	Astro_Gja1
COX14	Astro_Gja1
COX6A1	Astro_Gja1
COX6B1	Astro_Gja1
COX7C	Astro_Gja1
CSMD1	Astro_Gja1
TPTEP2-CSNK1E	Astro_Gja1
CSNK1E	Astro_Gja1
CST3	Astro_Gja1
CYFIP1	Astro_Gja1
CYHR1	Astro_Gja1
CYTH2	Astro_Gja1
DDRGK1	Astro_Gja1
DDX24	Astro_Gja1
DEGS1	Astro_Gja1
DHCR7	Astro_Gja1
DNM3	Astro_Gja1
DYNLL1	Astro_Gja1
DYNLL2	Astro_Gja1
EDNRB	Astro_Gja1
EID1	Astro_Gja1
EIF1	Astro_Gja1
EIF1B	Astro_Gja1
EIF3I	Astro_Gja1
EMC7	Astro_Gja1
EPHA5	Astro_Gja1
ETNPPL	Astro_Gja1
FABP5	Astro_Gja1
FABP7	Astro_Gja1
FAM104B	Astro_Gja1
FAM126B	Astro_Gja1
FARP1	Astro_Gja1
FASN	Astro_Gja1
FBXL15	Astro_Gja1
FGF14	Astro_Gja1
FKBP3	Astro_Gja1
FLYWCH1	Astro_Gja1
FOXP1	Astro_Gja1
FRY	Astro_Gja1
FTH1	Astro_Gja1
G3BP2	Astro_Gja1
GDPD1	Astro_Gja1
GEMIN7	Astro_Gja1
GLO1	Astro_Gja1
GLS	Astro_Gja1
GNAS	Astro_Gja1
GPR37L1	Astro_Gja1
GUCY1A1	Astro_Gja1
GUCY1B1	Astro_Gja1
GUK1	Astro_Gja1
H3-3B	Astro_Gja1
H3-5	Astro_Gja1
HERC3	Astro_Gja1
HES5	Astro_Gja1
HIF3A	Astro_Gja1
HIP1	Astro_Gja1
HSPE1	Astro_Gja1
ID1	Astro_Gja1
ID3	Astro_Gja1
IGSF8	Astro_Gja1
JAGN1	Astro_Gja1
KCNAB1	Astro_Gja1
KCNQ3	Astro_Gja1
KIFC2	Astro_Gja1
KLF13	Astro_Gja1
KLHL2	Astro_Gja1
LACTB	Astro_Gja1
LAMA3	Astro_Gja1
LARS2	Astro_Gja1
LCMT1	Astro_Gja1
LGI1	Astro_Gja1
LGMN	Astro_Gja1
LSM4	Astro_Gja1
MAN1A2	Astro_Gja1
MAP7	Astro_Gja1
MCRIP1	Astro_Gja1
MDH2	Astro_Gja1
MFGE8	Astro_Gja1
MGAT3	Astro_Gja1
MORF4L2	Astro_Gja1
MRPL12	Astro_Gja1
MRPL33	Astro_Gja1
MRPL57	Astro_Gja1
MRPS12	Astro_Gja1
MRPS18C	Astro_Gja1
MT1G	Astro_Gja1
MTCH1	Astro_Gja1
MYH10	Astro_Gja1
N4BP2L2	Astro_Gja1
NAP1L5	Astro_Gja1
NAPB	Astro_Gja1
NDFIP2	Astro_Gja1
NDUFA12	Astro_Gja1
NDUFA2	Astro_Gja1
NDUFA5	Astro_Gja1
NDUFA7	Astro_Gja1
NDUFB10	Astro_Gja1
NDUFB11	Astro_Gja1
NDUFS5	Astro_Gja1
NEDD8	Astro_Gja1
NEU1	Astro_Gja1
NFE2L1	Astro_Gja1
NLGN3	Astro_Gja1
NPDC1	Astro_Gja1
NPTN	Astro_Gja1
NSF	Astro_Gja1
NUCKS1	Astro_Gja1
NUDC	Astro_Gja1
OMG	Astro_Gja1
PALLD	Astro_Gja1
PARD6A	Astro_Gja1
PCBP1	Astro_Gja1
PDAP1	Astro_Gja1
PDCD5	Astro_Gja1
PFDN5	Astro_Gja1
PFN1	Astro_Gja1
PHYHIPL	Astro_Gja1
PINK1	Astro_Gja1
PLCB1	Astro_Gja1
PNPLA7	Astro_Gja1
PPP2R1A	Astro_Gja1
PRDX2	Astro_Gja1
PRICKLE1	Astro_Gja1
PRKAR1A	Astro_Gja1
PRMT1	Astro_Gja1
PRNP	Astro_Gja1
PSENEN	Astro_Gja1
PSMA4	Astro_Gja1
PSMA5	Astro_Gja1
PSMA7	Astro_Gja1
PSMB1	Astro_Gja1
PSMB6	Astro_Gja1
PSMC3	Astro_Gja1
PSMC4	Astro_Gja1
PSMD2	Astro_Gja1
PSMD3	Astro_Gja1
PTMS	Astro_Gja1
PURB	Astro_Gja1
R3HDM4	Astro_Gja1
RAB14	Astro_Gja1
RAB26	Astro_Gja1
RACK1	Astro_Gja1
RAMACL	Astro_Gja1
RAMAC	Astro_Gja1
RANBP10	Astro_Gja1
RASGRP1	Astro_Gja1
RER1	Astro_Gja1
REX1BD	Astro_Gja1
RFX7	Astro_Gja1
RGL1	Astro_Gja1
RHBDD2	Astro_Gja1
RNF11	Astro_Gja1
RNF7	Astro_Gja1
RNMT	Astro_Gja1
RNPS1	Astro_Gja1
ROBO1	Astro_Gja1
ROCK2	Astro_Gja1
RPL13	Astro_Gja1
RPL22	Astro_Gja1
RPL30	Astro_Gja1
RPL36A	Astro_Gja1
RPS13	Astro_Gja1
RPS15	Astro_Gja1
RPS20	Astro_Gja1
RPS21	Astro_Gja1
RPS24	Astro_Gja1
RPS26	Astro_Gja1
RPS9	Astro_Gja1
RRAGB	Astro_Gja1
RTN3	Astro_Gja1
RUNX2	Astro_Gja1
SAR1A	Astro_Gja1
SDHAF1	Astro_Gja1
SEC62	Astro_Gja1
SELENOK	Astro_Gja1
SELENOM	Astro_Gja1
SERINC1	Astro_Gja1
SETSIP	Astro_Gja1
SGTB	Astro_Gja1
SLC20A2	Astro_Gja1
SLC3A2	Astro_Gja1
SLC41A2	Astro_Gja1
SLC4A3	Astro_Gja1
SMAP2	Astro_Gja1
SMIM26	Astro_Gja1
SMPDL3A	Astro_Gja1
SNRPE	Astro_Gja1
SNX10	Astro_Gja1
SOD1	Astro_Gja1
SORL1	Astro_Gja1
SPARC	Astro_Gja1
SPATA7	Astro_Gja1
SRP14	Astro_Gja1
SRSF7	Astro_Gja1
SSR2	Astro_Gja1
ST3GAL4	Astro_Gja1
STRAP	Astro_Gja1
STX1B	Astro_Gja1
