Gene	Cell
0610012G03Rik	Astro_Gja1
1810037I17Rik	Astro_Gja1
2210016L21Rik	Astro_Gja1
9530068E07Rik	Astro_Gja1
Abhd17a	Astro_Gja1
Abtb1	Astro_Gja1
Acyp1	Astro_Gja1
Adam23	Astro_Gja1
Adgrb1	Astro_Gja1
Adgrb2	Astro_Gja1
Ap2a2	Astro_Gja1
Arf5	Astro_Gja1
Armcx3	Astro_Gja1
Arpc1a	Astro_Gja1
Arpc4	Astro_Gja1
Arpc5l	Astro_Gja1
Arpp19	Astro_Gja1
Asic2	Astro_Gja1
Atg2a	Astro_Gja1
Atox1	Astro_Gja1
Atp2b2	Astro_Gja1
Atp5b	Astro_Gja1
Atp5j2	Astro_Gja1
Atp5l	Astro_Gja1
Atp6v0e	Astro_Gja1
Atp6v1a	Astro_Gja1
Atp6v1e1	Astro_Gja1
Atp8a1	Astro_Gja1
BC031181	Astro_Gja1
Bag1	Astro_Gja1
Bcar3	Astro_Gja1
Bet1l	Astro_Gja1
Bhlhe40	Astro_Gja1
Bmper	Astro_Gja1
Bmyc	Astro_Gja1
Bphl	Astro_Gja1
Brk1	Astro_Gja1
Btf3	Astro_Gja1
Bzw1	Astro_Gja1
C1galt1c1	Astro_Gja1
Cab39l	Astro_Gja1
Cadm4	Astro_Gja1
Calm1	Astro_Gja1
Camk1	Astro_Gja1
Camk1d	Astro_Gja1
Camk2n1	Astro_Gja1
Canx	Astro_Gja1
Cbx6	Astro_Gja1
Ccnd3	Astro_Gja1
Cct5	Astro_Gja1
Cd81	Astro_Gja1
Cdc37	Astro_Gja1
Cdh19	Astro_Gja1
Cep126	Astro_Gja1
Chd3	Astro_Gja1
Chmp2a	Astro_Gja1
Ckb	Astro_Gja1
Cmss1	Astro_Gja1
Cmya5	Astro_Gja1
Cnp	Astro_Gja1
Cntn1	Astro_Gja1
Cox14	Astro_Gja1
Cox6a1	Astro_Gja1
Cox6b1	Astro_Gja1
Cox7c	Astro_Gja1
Csmd1	Astro_Gja1
Csnk1e	Astro_Gja1
Cst3	Astro_Gja1
Cyfip1	Astro_Gja1
Cyhr1	Astro_Gja1
Cyth2	Astro_Gja1
Ddrgk1	Astro_Gja1
Ddx24	Astro_Gja1
Degs1	Astro_Gja1
Dhcr7	Astro_Gja1
Dnaja1	Astro_Gja1
Dnm3	Astro_Gja1
Dusp3	Astro_Gja1
Dynll1	Astro_Gja1
Dynll2	Astro_Gja1
Ednrb	Astro_Gja1
Eid1	Astro_Gja1
Eif1	Astro_Gja1
Eif1b	Astro_Gja1
Eif3i	Astro_Gja1
Emc7	Astro_Gja1
Epha5	Astro_Gja1
Etnppl	Astro_Gja1
Fabp5	Astro_Gja1
Fabp7	Astro_Gja1
Fam104a	Astro_Gja1
Fam126b	Astro_Gja1
Farp1	Astro_Gja1
Fasn	Astro_Gja1
Fbxl15	Astro_Gja1
Fgf14	Astro_Gja1
Fkbp3	Astro_Gja1
Flywch1	Astro_Gja1
Foxp1	Astro_Gja1
Fry	Astro_Gja1
Fth1	Astro_Gja1
G3bp2	Astro_Gja1
Gdpd1	Astro_Gja1
Gemin7	Astro_Gja1
Glo1	Astro_Gja1
Gls	Astro_Gja1
Gnas	Astro_Gja1
Gpr37l1	Astro_Gja1
Gucy1a1	Astro_Gja1
Gucy1b1	Astro_Gja1
Guk1	Astro_Gja1
H3f3b	Astro_Gja1
Herc3	Astro_Gja1
Hes5	Astro_Gja1
Hif3a	Astro_Gja1
Hip1	Astro_Gja1
Hspe1	Astro_Gja1
Id1	Astro_Gja1
Id3	Astro_Gja1
Igsf8	Astro_Gja1
Jagn1	Astro_Gja1
Kcnab1	Astro_Gja1
Kcnq3	Astro_Gja1
Kifc2	Astro_Gja1
Klf13	Astro_Gja1
Klhl2	Astro_Gja1
Lactb	Astro_Gja1
Lama3	Astro_Gja1
Lars2	Astro_Gja1
Lcmt1	Astro_Gja1
Ldha	Astro_Gja1
Lgi1	Astro_Gja1
Lgmn	Astro_Gja1
Lsm4	Astro_Gja1
Man1a2	Astro_Gja1
Map1lc3b	Astro_Gja1
Map7	Astro_Gja1
Mcrip1	Astro_Gja1
Mdh2	Astro_Gja1
Mfge8	Astro_Gja1
Mgat3	Astro_Gja1
Morf4l2	Astro_Gja1
Mrpl12	Astro_Gja1
Mrpl33	Astro_Gja1
Mrpl57	Astro_Gja1
Mrps12	Astro_Gja1
Mrps18c	Astro_Gja1
Mt1	Astro_Gja1
Mt3	Astro_Gja1
Mtch1	Astro_Gja1
Myh10	Astro_Gja1
N4bp2l2	Astro_Gja1
Nap1l5	Astro_Gja1
Napb	Astro_Gja1
Ndfip2	Astro_Gja1
Ndufa12	Astro_Gja1
Ndufa2	Astro_Gja1
Ndufa5	Astro_Gja1
Ndufa7	Astro_Gja1
Ndufb10	Astro_Gja1
Ndufb11	Astro_Gja1
Ndufs5	Astro_Gja1
Nedd8	Astro_Gja1
Neu1	Astro_Gja1
Nfe2l1	Astro_Gja1
Nlgn3	Astro_Gja1
Npdc1	Astro_Gja1
Npm1	Astro_Gja1
Nptn	Astro_Gja1
Nsf	Astro_Gja1
Nucks1	Astro_Gja1
Nudc	Astro_Gja1
Omg	Astro_Gja1
Palld	Astro_Gja1
Pard6a	Astro_Gja1
Pcbp1	Astro_Gja1
Pdap1	Astro_Gja1
Pdcd5	Astro_Gja1
Pfdn5	Astro_Gja1
Pfn1	Astro_Gja1
Phyhipl	Astro_Gja1
Pink1	Astro_Gja1
Plcb1	Astro_Gja1
Pnpla7	Astro_Gja1
Ppp2r1a	Astro_Gja1
Prdx2	Astro_Gja1
Prickle1	Astro_Gja1
Prkar1a	Astro_Gja1
Prmt1	Astro_Gja1
Prnp	Astro_Gja1
Psenen	Astro_Gja1
Psma4	Astro_Gja1
Psma5	Astro_Gja1
Psma7	Astro_Gja1
Psmb1	Astro_Gja1
Psmb6	Astro_Gja1
Psmc3	Astro_Gja1
Psmc4	Astro_Gja1
Psmd2	Astro_Gja1
Psmd3	Astro_Gja1
Ptma	Astro_Gja1
Ptms	Astro_Gja1
Purb	Astro_Gja1
R3hdm4	Astro_Gja1
Rab14	Astro_Gja1
Rab26	Astro_Gja1
Rack1	Astro_Gja1
Ramac	Astro_Gja1
Ranbp10	Astro_Gja1
Rasgrp1	Astro_Gja1
Rer1	Astro_Gja1
Rex1bd	Astro_Gja1
Rfx7	Astro_Gja1
Rgl1	Astro_Gja1
Rhbdd2	Astro_Gja1
Rnf11	Astro_Gja1
Rnf7	Astro_Gja1
Rnmt	Astro_Gja1
Rnps1	Astro_Gja1
Robo1	Astro_Gja1
Rock2	Astro_Gja1
Rpl10	Astro_Gja1
Rpl13	Astro_Gja1
Rpl22	Astro_Gja1
Rpl30	Astro_Gja1
Rpl36a	Astro_Gja1
Rpl5	Astro_Gja1
Rpl9	Astro_Gja1
Rplp0	Astro_Gja1
Rps13	Astro_Gja1
Rps15	Astro_Gja1
Rps20	Astro_Gja1
Rps21	Astro_Gja1
Rps24	Astro_Gja1
Rps26	Astro_Gja1
Rps9	Astro_Gja1
Rragb	Astro_Gja1
Rtn3	Astro_Gja1
Runx2	Astro_Gja1
Sar1a	Astro_Gja1
Sdhaf1	Astro_Gja1
Sec61b	Astro_Gja1
Sec62	Astro_Gja1
Selenok	Astro_Gja1
Selenom	Astro_Gja1
Serinc1	Astro_Gja1
Set	Astro_Gja1
Sgtb	Astro_Gja1
Slc20a2	Astro_Gja1
Slc3a2	Astro_Gja1
Slc41a2	Astro_Gja1
Slc4a3	Astro_Gja1
Smap2	Astro_Gja1
Smim26	Astro_Gja1
Smpdl3a	Astro_Gja1
Snrpe	Astro_Gja1
Snx10	Astro_Gja1
Sod1	Astro_Gja1
Sorl1	Astro_Gja1
Sparc	Astro_Gja1
Spata7	Astro_Gja1
Srek1	Astro_Gja1
Srp14	Astro_Gja1
Srsf7	Astro_Gja1
Ssr2	Astro_Gja1
St3gal4	Astro_Gja1
Strap	Astro_Gja1
Stx1b	Astro_Gja1
Sumo3	Astro_Gja1
Swi5	Astro_Gja1
Sys1	Astro_Gja1
Taf10	Astro_Gja1
Tbcb	Astro_Gja1
Thra	Astro_Gja1
Tm9sf3	Astro_Gja1
Tmcc3	Astro_Gja1
Tmed4	Astro_Gja1
Tmem109	Astro_Gja1
Tmem14c	Astro_Gja1
Tmem176b	Astro_Gja1
Tmem222	Astro_Gja1
Tmem240	Astro_Gja1
Tmem258	Astro_Gja1
Tmem259	Astro_Gja1
Tmem38a	Astro_Gja1
Tnc	Astro_Gja1
Tnrc6a	Astro_Gja1
Tomm22	Astro_Gja1
Tomm5	Astro_Gja1
Tpi1	Astro_Gja1
Tpm1	Astro_Gja1
Trappc4	Astro_Gja1
Trappc5	Astro_Gja1
Tst	Astro_Gja1
Ttll7	Astro_Gja1
Tubb2a	Astro_Gja1
Ube2m	Astro_Gja1
Ubl5	Astro_Gja1
Ubqln2	Astro_Gja1
Ubxn1	Astro_Gja1
Ufc1	Astro_Gja1
Uqcrfs1	Astro_Gja1
Uqcrh	Astro_Gja1
Uqcrq	Astro_Gja1
Usp22	Astro_Gja1
Vdac1	Astro_Gja1
Yif1b	Astro_Gja1
Ypel3	Astro_Gja1
Ywhaq	Astro_Gja1
Ywhaz	Astro_Gja1
Zbtb16	Astro_Gja1
Zdhhc9	Astro_Gja1
Zfhx3	Astro_Gja1
Zfp637	Astro_Gja1
Zfp697	Astro_Gja1
Zfp710	Astro_Gja1
Zfp846	Astro_Gja1
Zfyve19	Astro_Gja1
Actb	Exc_L3_Calb1
Armc8	Exc_L3_Calb1
Atp2c1	Exc_L3_Calb1
Atp5d	Exc_L3_Calb1
Atp5g1	Exc_L3_Calb1
C1ql3	Exc_L3_Calb1
Calm3	Exc_L3_Calb1
Cntnap5c	Exc_L3_Calb1
Cox5a	Exc_L3_Calb1
Ctnna3	Exc_L3_Calb1
Dcc	Exc_L3_Calb1
Dctn3	Exc_L3_Calb1
Dpyd	Exc_L3_Calb1
Etv1	Exc_L3_Calb1
Fgfr2	Exc_L3_Calb1
Gm47283	Exc_L3_Calb1
Grik4	Exc_L3_Calb1
Ide	Exc_L3_Calb1
Kcnk1	Exc_L3_Calb1
Kcnk2	Exc_L3_Calb1
Map1lc3b	Exc_L3_Calb1
Ncald	Exc_L3_Calb1
Ndufb10	Exc_L3_Calb1
Oprm1	Exc_L3_Calb1
Pdia3	Exc_L3_Calb1
Pdia6	Exc_L3_Calb1
Pdzrn3	Exc_L3_Calb1
Pisd	Exc_L3_Calb1
Pkm	Exc_L3_Calb1
Rpl34	Exc_L3_Calb1
Rps19	Exc_L3_Calb1
Rps24	Exc_L3_Calb1
Rps8	Exc_L3_Calb1
Sgcd	Exc_L3_Calb1
Sparcl1	Exc_L3_Calb1
Srsf2	Exc_L3_Calb1
Stmn3	Exc_L3_Calb1
Trpm3	Exc_L3_Calb1
Unc50	Exc_L3_Calb1
Zbtb20	Exc_L3_Calb1
Actb	Exc_L5_Il1rapl2
Actg1	Exc_L5_Il1rapl2
Angpt1	Exc_L5_Il1rapl2
Atp6v0c	Exc_L5_Il1rapl2
Btaf1	Exc_L5_Il1rapl2
Calm3	Exc_L5_Il1rapl2
Cck	Exc_L5_Il1rapl2
Cdh13	Exc_L5_Il1rapl2
Cfl1	Exc_L5_Il1rapl2
Chrm3	Exc_L5_Il1rapl2
Ckb	Exc_L5_Il1rapl2
Cox5a	Exc_L5_Il1rapl2
Cox6b1	Exc_L5_Il1rapl2
Cox6c	Exc_L5_Il1rapl2
Cox8a	Exc_L5_Il1rapl2
Ctnna3	Exc_L5_Il1rapl2
Dcc	Exc_L5_Il1rapl2
Epha6	Exc_L5_Il1rapl2
Fgfr2	Exc_L5_Il1rapl2
Gm47283	Exc_L5_Il1rapl2
Gpc5	Exc_L5_Il1rapl2
Map1lc3b	Exc_L5_Il1rapl2
N4bp2l2	Exc_L5_Il1rapl2
Ndufa8	Exc_L5_Il1rapl2
Ndufb10	Exc_L5_Il1rapl2
Nnat	Exc_L5_Il1rapl2
Pdia3	Exc_L5_Il1rapl2
Pdia6	Exc_L5_Il1rapl2
Pisd	Exc_L5_Il1rapl2
Ptn	Exc_L5_Il1rapl2
Rer1	Exc_L5_Il1rapl2
Rpl34	Exc_L5_Il1rapl2
Scd2	Exc_L5_Il1rapl2
Selenok	Exc_L5_Il1rapl2
Serinc1	Exc_L5_Il1rapl2
Slc25a4	Exc_L5_Il1rapl2
Srsf2	Exc_L5_Il1rapl2
Tomm20	Exc_L5_Il1rapl2
Vgf	Exc_L5_Il1rapl2
