Gene	Class
ACTB	ASD_SC
ACTL6B	ASD_SC
ACY1	ASD_SC
ADGRL1	ASD_SC
ADNP	ASD_SC
ADSL	ASD_SC
AHDC1	ASD_SC
AHI1	ASD_SC
ALDH1A3	ASD_SC
ALDH5A1	ASD_SC
ALG6	ASD_SC
ANKRD11	ASD_SC
ANKRD17	ASD_SC
ANKS1B	ASD_SC
AP1S2	ASD_SC
ARHGEF9	ASD_SC
ARID1B	ASD_SC
ARID2	ASD_SC
ARX	ASD_SC
ASXL3	ASD_SC
ATP1A1	ASD_SC
ATP1A3	ASD_SC
BCL11A	ASD_SC
BCORL1	ASD_SC
BRAF	ASD_SC
BRSK2	ASD_SC
BRWD3	ASD_SC
C12orf57	ASD_SC
CACNA1A	ASD_SC
CACNA1C	ASD_SC
CAMK2A	ASD_SC
CAMK2B	ASD_SC
CCNK	ASD_SC
CDK13	ASD_SC
CDK19	ASD_SC
CDK8	ASD_SC
CDKL5	ASD_SC
CELF2	ASD_SC
CEP290	ASD_SC
CHAMP1	ASD_SC
CHD1	ASD_SC
CHD2	ASD_SC
CHD3	ASD_SC
CHD7	ASD_SC
CHD8	ASD_SC
CHKB	ASD_SC
CIC	ASD_SC
CLCN4	ASD_SC
CNKSR2	ASD_SC
CNOT3	ASD_SC
CNTNAP2	ASD_SC
CREBBP	ASD_SC
CSDE1	ASD_SC
CSNK2B	ASD_SC
CTCF	ASD_SC
CTNNA2	ASD_SC
CUX2	ASD_SC
CYP27A1	ASD_SC
DDX23	ASD_SC
DDX3X	ASD_SC
DEAF1	ASD_SC
DEPDC5	ASD_SC
DHCR7	ASD_SC
DHX30	ASD_SC
DLL1	ASD_SC
DMD	ASD_SC
DMPK	ASD_SC
DNMT3A	ASD_SC
DOLK	ASD_SC
DYRK1A	ASD_SC
EBF3	ASD_SC
EEF1A2	ASD_SC
EHMT1	ASD_SC
ELP2	ASD_SC
EP300	ASD_SC
FBRSL1	ASD_SC
FBXO11	ASD_SC
FGF13	ASD_SC
FMR1	ASD_SC
FOXG1	ASD_SC
FOXP1	ASD_SC
FRMPD4	ASD_SC
GABBR2	ASD_SC
GABRA3	ASD_SC
GALNT2	ASD_SC
GATM	ASD_SC
GNB2	ASD_SC
GRIA3	ASD_SC
H1-4	ASD_SC
H4C11	ASD_SC
H4C3	ASD_SC
H4C5	ASD_SC
HCFC1	ASD_SC
HCN1	ASD_SC
HDAC4	ASD_SC
HDAC8	ASD_SC
HEPACAM	ASD_SC
HERC1	ASD_SC
HERC2	ASD_SC
HIVEP2	ASD_SC
HNRNPD	ASD_SC
HNRNPK	ASD_SC
HNRNPR	ASD_SC
HNRNPU	ASD_SC
HNRNPUL2	ASD_SC
HOXA1	ASD_SC
HUWE1	ASD_SC
INTS1	ASD_SC
IQSEC2	ASD_SC
IRF2BPL	ASD_SC
KANSL1	ASD_SC
KAT6A	ASD_SC
KCNA2	ASD_SC
KCNB1	ASD_SC
KDM3B	ASD_SC
KIF1A	ASD_SC
KIF5C	ASD_SC
KMT2A	ASD_SC
KMT2C	ASD_SC
KMT2E	ASD_SC
KPTN	ASD_SC
LNPK	ASD_SC
MAGEL2	ASD_SC
MBD5	ASD_SC
MBOAT7	ASD_SC
MECP2	ASD_SC
MED12L	ASD_SC
MED13	ASD_SC
MED13L	ASD_SC
MEF2C	ASD_SC
MEIS2	ASD_SC
MTOR	ASD_SC
NAA15	ASD_SC
NACC1	ASD_SC
NBEA	ASD_SC
NF1	ASD_SC
NFIB	ASD_SC
NFIX	ASD_SC
NIPBL	ASD_SC
NOVA2	ASD_SC
NR2F1	ASD_SC
NR3C2	ASD_SC
NSD1	ASD_SC
NSD2	ASD_SC
NTNG1	ASD_SC
NTNG2	ASD_SC
NTRK2	ASD_SC
OCRL	ASD_SC
PACS1	ASD_SC
PACS2	ASD_SC
PAK1	ASD_SC
PAX6	ASD_SC
PCCA	ASD_SC
PCCB	ASD_SC
PCDH19	ASD_SC
PDZD8	ASD_SC
PHF21A	ASD_SC
PHF8	ASD_SC
PHIP	ASD_SC
PIK3R2	ASD_SC
POGZ	ASD_SC
POLR2A	ASD_SC
POLR3A	ASD_SC
POMGNT1	ASD_SC
POU3F3	ASD_SC
PPM1D	ASD_SC
PPP2CA	ASD_SC
PPP2R5D	ASD_SC
PPP3CA	ASD_SC
PRKD1	ASD_SC
PRODH	ASD_SC
PRR12	ASD_SC
PSMD12	ASD_SC
PTEN	ASD_SC
PTPN11	ASD_SC
PTPN4	ASD_SC
RAC1	ASD_SC
RAD21	ASD_SC
RAI1	ASD_SC
RALA	ASD_SC
RERE	ASD_SC
RFX4	ASD_SC
RFX7	ASD_SC
RHEB	ASD_SC
RIMS2	ASD_SC
RLIM	ASD_SC
RNF135	ASD_SC
RORA	ASD_SC
RORB	ASD_SC
RPS6KA3	ASD_SC
RSRC1	ASD_SC
SATB2	ASD_SC
SCN1A	ASD_SC
SETD1B	ASD_SC
SETD5	ASD_SC
SGSH	ASD_SC
SHANK3	ASD_SC
SIK1	ASD_SC
SIN3A	ASD_SC
SIN3B	ASD_SC
SLC1A2	ASD_SC
SLC45A1	ASD_SC
SLC6A1	ASD_SC
SLC9A6	ASD_SC
SLITRK2	ASD_SC
SMARCA2	ASD_SC
SMARCC2	ASD_SC
SMC1A	ASD_SC
SMC3	ASD_SC
SNX14	ASD_SC
SON	ASD_SC
SOX5	ASD_SC
SOX6	ASD_SC
SPTBN1	ASD_SC
SRRM2	ASD_SC
STAG1	ASD_SC
STXBP1	ASD_SC
SUPT16H	ASD_SC
SYNE1	ASD_SC
SYNGAP1	ASD_SC
SYT1	ASD_SC
TAF1	ASD_SC
TAF4	ASD_SC
TANC2	ASD_SC
TAOK1	ASD_SC
TBC1D23	ASD_SC
TBCK	ASD_SC
TBX1	ASD_SC
TCF20	ASD_SC
TCF4	ASD_SC
TET3	ASD_SC
TFE3	ASD_SC
TLK2	ASD_SC
TM4SF20	ASD_SC
TRAF7	ASD_SC
TRAPPC6B	ASD_SC
TRIP12	ASD_SC
TRRAP	ASD_SC
TSC1	ASD_SC
TSC2	ASD_SC
TTI2	ASD_SC
TTN	ASD_SC
UBE3A	ASD_SC
UNC13A	ASD_SC
UPF3B	ASD_SC
USP7	ASD_SC
USP9X	ASD_SC
VAMP2	ASD_SC
VPS13B	ASD_SC
WAC	ASD_SC
WASF1	ASD_SC
WDR26	ASD_SC
XPC	ASD_SC
YWHAG	ASD_SC
YY1	ASD_SC
ZBTB20	ASD_SC
